sku,name,category,quantity,reorder_level,location,supplier
HSP00120,"Consumables Item 120",Consumables,165,33,"Ward 5 - Shelf 5",Supplier 1
HSP00121,"PPE Item 121",PPE,5,10,"Ward 1 - Shelf 2",Supplier 2
HSP00122,"Equipment Item 122",Equipment,196,39,"Ward 1 - Shelf 3",Supplier 3
HSP00123,"Medication Item 123",Medication,50,10,"Ward 1 - Shelf 4",Supplier 4
HSP00124,"Surgical Item 124",Surgical,49,10,"Ward 8 - Shelf 3",Supplier 5
HSP00125,"Diagnostics Item 125",Diagnostics,163,32,"Ward 8 - Shelf 5",Supplier 6
HSP00126,"Cleaning Item 126",Cleaning,138,27,"Ward 3 - Shelf 3",Supplier 7
HSP00127,"Office Item 127",Office,198,39,"Ward 8 - Shelf 6",Supplier 8
HSP00128,"Consumables Item 128",Consumables,47,10,"Ward 1 - Shelf 3",Supplier 9
HSP00129,"PPE Item 129",PPE,146,29,"Ward 10 - Shelf 1",Supplier 10
HSP00130,"Equipment Item 130",Equipment,145,29,"Ward 10 - Shelf 1",Supplier 1
HSP00131,"Medication Item 131",Medication,192,38,"Ward 2 - Shelf 6",Supplier 2
HSP00132,"Surgical Item 132",Surgical,167,33,"Ward 8 - Shelf 5",Supplier 3
HSP00133,"Diagnostics Item 133",Diagnostics,19,10,"Ward 10 - Shelf 5",Supplier 4
HSP00134,"Cleaning Item 134",Cleaning,98,19,"Ward 9 - Shelf 5",Supplier 5
HSP00135,"Office Item 135",Office,6,10,"Ward 2 - Shelf 2",Supplier 6
HSP00136,"Consumables Item 136",Consumables,19,10,"Ward 10 - Shelf 4",Supplier 7
HSP00137,"PPE Item 137",PPE,129,25,"Ward 7 - Shelf 6",Supplier 8
HSP00138,"Equipment Item 138",Equipment,62,12,"Ward 1 - Shelf 5",Supplier 9
HSP00139,"Medication Item 139",Medication,118,23,"Ward 4 - Shelf 4",Supplier 10
HSP00140,"Surgical Item 140",Surgical,183,36,"Ward 5 - Shelf 4",Supplier 1
HSP00141,"Diagnostics Item 141",Diagnostics,156,31,"Ward 8 - Shelf 6",Supplier 2
HSP00142,"Cleaning Item 142",Cleaning,151,30,"Ward 9 - Shelf 1",Supplier 3
HSP00143,"Office Item 143",Office,84,16,"Ward 8 - Shelf 1",Supplier 4
HSP00144,"Consumables Item 144",Consumables,84,16,"Ward 6 - Shelf 5",Supplier 5
HSP00145,"PPE Item 145",PPE,42,10,"Ward 1 - Shelf 6",Supplier 6
HSP00146,"Equipment Item 146",Equipment,62,12,"Ward 5 - Shelf 1",Supplier 7
HSP00147,"Medication Item 147",Medication,41,10,"Ward 5 - Shelf 4",Supplier 8
HSP00148,"Surgical Item 148",Surgical,109,21,"Ward 2 - Shelf 2",Supplier 9
HSP00149,"Diagnostics Item 149",Diagnostics,27,10,"Ward 3 - Shelf 4",Supplier 10
HSP00150,"Cleaning Item 150",Cleaning,6,10,"Ward 4 - Shelf 6",Supplier 1
HSP00151,"Office Item 151",Office,200,40,"Ward 2 - Shelf 2",Supplier 2
HSP00152,"Consumables Item 152",Consumables,95,19,"Ward 10 - Shelf 1",Supplier 3
HSP00153,"PPE Item 153",PPE,123,24,"Ward 10 - Shelf 3",Supplier 4
HSP00154,"Equipment Item 154",Equipment,81,16,"Ward 5 - Shelf 5",Supplier 5
HSP00155,"Medication Item 155",Medication,35,10,"Ward 10 - Shelf 4",Supplier 6
HSP00156,"Surgical Item 156",Surgical,158,31,"Ward 9 - Shelf 1",Supplier 7
HSP00157,"Diagnostics Item 157",Diagnostics,41,10,"Ward 2 - Shelf 2",Supplier 8
HSP00158,"Cleaning Item 158",Cleaning,33,10,"Ward 1 - Shelf 5",Supplier 9
HSP00159,"Office Item 159",Office,52,10,"Ward 3 - Shelf 1",Supplier 10
HSP00160,"Consumables Item 160",Consumables,124,24,"Ward 8 - Shelf 5",Supplier 1
HSP00161,"PPE Item 161",PPE,121,24,"Ward 1 - Shelf 6",Supplier 2
HSP00162,"Equipment Item 162",Equipment,59,11,"Ward 6 - Shelf 5",Supplier 3
HSP00163,"Medication Item 163",Medication,144,28,"Ward 9 - Shelf 1",Supplier 4
HSP00164,"Surgical Item 164",Surgical,46,10,"Ward 6 - Shelf 6",Supplier 5
HSP00165,"Diagnostics Item 165",Diagnostics,36,10,"Ward 8 - Shelf 6",Supplier 6
HSP00166,"Cleaning Item 166",Cleaning,128,25,"Ward 9 - Shelf 2",Supplier 7
HSP00167,"Office Item 167",Office,117,23,"Ward 2 - Shelf 6",Supplier 8
HSP00168,"Consumables Item 168",Consumables,176,35,"Ward 6 - Shelf 1",Supplier 9
HSP00169,"PPE Item 169",PPE,44,10,"Ward 8 - Shelf 5",Supplier 10
HSP00170,"Equipment Item 170",Equipment,118,23,"Ward 2 - Shelf 2",Supplier 1
HSP00171,"Medication Item 171",Medication,182,36,"Ward 2 - Shelf 2",Supplier 2
HSP00172,"Surgical Item 172",Surgical,173,34,"Ward 2 - Shelf 2",Supplier 3
HSP00173,"Diagnostics Item 173",Diagnostics,128,25,"Ward 7 - Shelf 6",Supplier 4
HSP00174,"Cleaning Item 174",Cleaning,132,26,"Ward 1 - Shelf 6",Supplier 5
HSP00175,"Office Item 175",Office,70,14,"Ward 9 - Shelf 6",Supplier 6
HSP00176,"Consumables Item 176",Consumables,126,25,"Ward 5 - Shelf 2",Supplier 7
HSP00177,"PPE Item 177",PPE,141,28,"Ward 10 - Shelf 6",Supplier 8
HSP00178,"Equipment Item 178",Equipment,195,39,"Ward 5 - Shelf 3",Supplier 9
HSP00179,"Medication Item 179",Medication,101,20,"Ward 9 - Shelf 4",Supplier 10
HSP00180,"Surgical Item 180",Surgical,55,11,"Ward 9 - Shelf 2",Supplier 1
HSP00181,"Diagnostics Item 181",Diagnostics,182,36,"Ward 10 - Shelf 3",Supplier 2
HSP00182,"Cleaning Item 182",Cleaning,74,14,"Ward 10 - Shelf 2",Supplier 3
HSP00183,"Office Item 183",Office,89,17,"Ward 4 - Shelf 6",Supplier 4
HSP00184,"Consumables Item 184",Consumables,51,10,"Ward 2 - Shelf 4",Supplier 5
HSP00185,"PPE Item 185",PPE,12,10,"Ward 2 - Shelf 5",Supplier 6
HSP00186,"Equipment Item 186",Equipment,47,10,"Ward 9 - Shelf 2",Supplier 7
HSP00187,"Medication Item 187",Medication,116,23,"Ward 6 - Shelf 6",Supplier 8
HSP00188,"Surgical Item 188",Surgical,14,10,"Ward 4 - Shelf 6",Supplier 9
HSP00189,"Diagnostics Item 189",Diagnostics,166,33,"Ward 10 - Shelf 2",Supplier 10
HSP00190,"Cleaning Item 190",Cleaning,26,10,"Ward 4 - Shelf 1",Supplier 1
HSP00191,"Office Item 191",Office,22,10,"Ward 2 - Shelf 1",Supplier 2
HSP00192,"Consumables Item 192",Consumables,124,24,"Ward 10 - Shelf 5",Supplier 3
HSP00193,"PPE Item 193",PPE,33,10,"Ward 7 - Shelf 5",Supplier 4
HSP00194,"Equipment Item 194",Equipment,58,11,"Ward 2 - Shelf 1",Supplier 5
HSP00195,"Medication Item 195",Medication,66,13,"Ward 8 - Shelf 4",Supplier 6
HSP00196,"Surgical Item 196",Surgical,112,22,"Ward 2 - Shelf 3",Supplier 7
HSP00197,"Diagnostics Item 197",Diagnostics,61,12,"Ward 9 - Shelf 6",Supplier 8
HSP00198,"Cleaning Item 198",Cleaning,78,15,"Ward 8 - Shelf 3",Supplier 9
HSP00199,"Office Item 199",Office,70,14,"Ward 8 - Shelf 1",Supplier 10
HSP00200,"Consumables Item 200",Consumables,89,17,"Ward 4 - Shelf 5",Supplier 1
HSP00201,"PPE Item 201",PPE,190,38,"Ward 6 - Shelf 3",Supplier 2
HSP00202,"Equipment Item 202",Equipment,194,38,"Ward 2 - Shelf 5",Supplier 3
HSP00203,"Medication Item 203",Medication,23,10,"Ward 9 - Shelf 4",Supplier 4
HSP00204,"Surgical Item 204",Surgical,193,38,"Ward 3 - Shelf 5",Supplier 5
HSP00205,"Diagnostics Item 205",Diagnostics,111,22,"Ward 8 - Shelf 2",Supplier 6
HSP00206,"Cleaning Item 206",Cleaning,158,31,"Ward 8 - Shelf 3",Supplier 7
HSP00207,"Office Item 207",Office,165,33,"Ward 6 - Shelf 3",Supplier 8
HSP00208,"Consumables Item 208",Consumables,93,18,"Ward 2 - Shelf 1",Supplier 9
HSP00209,"PPE Item 209",PPE,105,21,"Ward 8 - Shelf 2",Supplier 10
HSP00210,"Equipment Item 210",Equipment,118,23,"Ward 2 - Shelf 1",Supplier 1
HSP00211,"Medication Item 211",Medication,160,32,"Ward 9 - Shelf 3",Supplier 2
HSP00212,"Surgical Item 212",Surgical,63,12,"Ward 10 - Shelf 5",Supplier 3
HSP00213,"Diagnostics Item 213",Diagnostics,102,20,"Ward 5 - Shelf 6",Supplier 4
HSP00214,"Cleaning Item 214",Cleaning,62,12,"Ward 7 - Shelf 4",Supplier 5
HSP00215,"Office Item 215",Office,196,39,"Ward 1 - Shelf 4",Supplier 6
HSP00216,"Consumables Item 216",Consumables,200,40,"Ward 10 - Shelf 4",Supplier 7
HSP00217,"PPE Item 217",PPE,179,35,"Ward 8 - Shelf 6",Supplier 8
HSP00218,"Equipment Item 218",Equipment,161,32,"Ward 10 - Shelf 4",Supplier 9
HSP00219,"Medication Item 219",Medication,132,26,"Ward 3 - Shelf 3",Supplier 10
HSP00220,"Surgical Item 220",Surgical,198,39,"Ward 8 - Shelf 2",Supplier 1
HSP00221,"Diagnostics Item 221",Diagnostics,4,10,"Ward 5 - Shelf 6",Supplier 2
HSP00222,"Cleaning Item 222",Cleaning,153,30,"Ward 3 - Shelf 5",Supplier 3
HSP00223,"Office Item 223",Office,63,12,"Ward 8 - Shelf 4",Supplier 4
HSP00224,"Consumables Item 224",Consumables,79,15,"Ward 7 - Shelf 5",Supplier 5
HSP00225,"PPE Item 225",PPE,141,28,"Ward 10 - Shelf 2",Supplier 6
HSP00226,"Equipment Item 226",Equipment,112,22,"Ward 8 - Shelf 2",Supplier 7
HSP00227,"Medication Item 227",Medication,8,10,"Ward 6 - Shelf 4",Supplier 8
HSP00228,"Surgical Item 228",Surgical,112,22,"Ward 9 - Shelf 4",Supplier 9
HSP00229,"Diagnostics Item 229",Diagnostics,114,22,"Ward 10 - Shelf 4",Supplier 10
HSP00230,"Cleaning Item 230",Cleaning,71,14,"Ward 1 - Shelf 5",Supplier 1
HSP00231,"Office Item 231",Office,118,23,"Ward 2 - Shelf 3",Supplier 2
HSP00232,"Consumables Item 232",Consumables,111,22,"Ward 7 - Shelf 3",Supplier 3
HSP00233,"PPE Item 233",PPE,144,28,"Ward 6 - Shelf 1",Supplier 4
HSP00234,"Equipment Item 234",Equipment,25,10,"Ward 10 - Shelf 3",Supplier 5
HSP00235,"Medication Item 235",Medication,55,11,"Ward 5 - Shelf 5",Supplier 6
HSP00236,"Surgical Item 236",Surgical,161,32,"Ward 9 - Shelf 2",Supplier 7
HSP00237,"Diagnostics Item 237",Diagnostics,12,10,"Ward 2 - Shelf 3",Supplier 8
HSP00238,"Cleaning Item 238",Cleaning,44,10,"Ward 9 - Shelf 4",Supplier 9
HSP00239,"Office Item 239",Office,26,10,"Ward 6 - Shelf 3",Supplier 10
HSP00240,"Consumables Item 240",Consumables,7,10,"Ward 2 - Shelf 2",Supplier 1
HSP00241,"PPE Item 241",PPE,107,21,"Ward 3 - Shelf 5",Supplier 2
HSP00242,"Equipment Item 242",Equipment,111,22,"Ward 4 - Shelf 1",Supplier 3
HSP00243,"Medication Item 243",Medication,80,16,"Ward 4 - Shelf 5",Supplier 4
HSP00244,"Surgical Item 244",Surgical,36,10,"Ward 3 - Shelf 4",Supplier 5
HSP00245,"Diagnostics Item 245",Diagnostics,40,10,"Ward 6 - Shelf 2",Supplier 6
HSP00246,"Cleaning Item 246",Cleaning,147,29,"Ward 4 - Shelf 6",Supplier 7
HSP00247,"Office Item 247",Office,180,36,"Ward 8 - Shelf 3",Supplier 8
HSP00248,"Consumables Item 248",Consumables,58,11,"Ward 10 - Shelf 1",Supplier 9
HSP00249,"PPE Item 249",PPE,94,18,"Ward 3 - Shelf 3",Supplier 10
HSP00250,"Equipment Item 250",Equipment,5,10,"Ward 10 - Shelf 6",Supplier 1
HSP00251,"Medication Item 251",Medication,28,10,"Ward 3 - Shelf 6",Supplier 2
HSP00252,"Surgical Item 252",Surgical,73,14,"Ward 2 - Shelf 5",Supplier 3
HSP00253,"Diagnostics Item 253",Diagnostics,195,39,"Ward 1 - Shelf 2",Supplier 4
HSP00254,"Cleaning Item 254",Cleaning,89,17,"Ward 1 - Shelf 1",Supplier 5
HSP00255,"Office Item 255",Office,81,16,"Ward 7 - Shelf 5",Supplier 6
HSP00256,"Consumables Item 256",Consumables,97,19,"Ward 6 - Shelf 4",Supplier 7
HSP00257,"PPE Item 257",PPE,110,22,"Ward 6 - Shelf 4",Supplier 8
HSP00258,"Equipment Item 258",Equipment,112,22,"Ward 9 - Shelf 2",Supplier 9
HSP00259,"Medication Item 259",Medication,168,33,"Ward 5 - Shelf 3",Supplier 10
HSP00260,"Surgical Item 260",Surgical,191,38,"Ward 6 - Shelf 3",Supplier 1
HSP00261,"Diagnostics Item 261",Diagnostics,70,14,"Ward 10 - Shelf 4",Supplier 2
HSP00262,"Cleaning Item 262",Cleaning,198,39,"Ward 8 - Shelf 6",Supplier 3
HSP00263,"Office Item 263",Office,131,26,"Ward 5 - Shelf 1",Supplier 4
HSP00264,"Consumables Item 264",Consumables,5,10,"Ward 5 - Shelf 6",Supplier 5
HSP00265,"PPE Item 265",PPE,88,17,"Ward 9 - Shelf 6",Supplier 6
HSP00266,"Equipment Item 266",Equipment,117,23,"Ward 6 - Shelf 6",Supplier 7
HSP00267,"Medication Item 267",Medication,10,10,"Ward 9 - Shelf 3",Supplier 8
HSP00268,"Surgical Item 268",Surgical,100,20,"Ward 9 - Shelf 4",Supplier 9
HSP00269,"Diagnostics Item 269",Diagnostics,191,38,"Ward 4 - Shelf 5",Supplier 10
HSP00270,"Cleaning Item 270",Cleaning,168,33,"Ward 8 - Shelf 1",Supplier 1
HSP00271,"Office Item 271",Office,49,10,"Ward 10 - Shelf 1",Supplier 2
HSP00272,"Consumables Item 272",Consumables,165,33,"Ward 9 - Shelf 4",Supplier 3
HSP00273,"PPE Item 273",PPE,121,24,"Ward 2 - Shelf 2",Supplier 4
HSP00274,"Equipment Item 274",Equipment,147,29,"Ward 3 - Shelf 5",Supplier 5
HSP00275,"Medication Item 275",Medication,144,28,"Ward 8 - Shelf 3",Supplier 6
HSP00276,"Surgical Item 276",Surgical,119,23,"Ward 2 - Shelf 4",Supplier 7
HSP00277,"Diagnostics Item 277",Diagnostics,59,11,"Ward 2 - Shelf 1",Supplier 8
HSP00278,"Cleaning Item 278",Cleaning,141,28,"Ward 8 - Shelf 5",Supplier 9
HSP00279,"Office Item 279",Office,76,15,"Ward 3 - Shelf 1",Supplier 10
HSP00280,"Consumables Item 280",Consumables,77,15,"Ward 3 - Shelf 5",Supplier 1
HSP00281,"PPE Item 281",PPE,191,38,"Ward 9 - Shelf 4",Supplier 2
HSP00282,"Equipment Item 282",Equipment,114,22,"Ward 2 - Shelf 6",Supplier 3
HSP00283,"Medication Item 283",Medication,75,15,"Ward 2 - Shelf 1",Supplier 4
HSP00284,"Surgical Item 284",Surgical,113,22,"Ward 6 - Shelf 2",Supplier 5
HSP00285,"Diagnostics Item 285",Diagnostics,78,15,"Ward 9 - Shelf 4",Supplier 6
HSP00286,"Cleaning Item 286",Cleaning,161,32,"Ward 8 - Shelf 2",Supplier 7
HSP00287,"Office Item 287",Office,96,19,"Ward 5 - Shelf 6",Supplier 8
HSP00288,"Consumables Item 288",Consumables,60,12,"Ward 5 - Shelf 4",Supplier 9
HSP00289,"PPE Item 289",PPE,199,39,"Ward 4 - Shelf 6",Supplier 10
HSP00290,"Equipment Item 290",Equipment,20,10,"Ward 1 - Shelf 2",Supplier 1
HSP00291,"Medication Item 291",Medication,109,21,"Ward 6 - Shelf 5",Supplier 2
HSP00292,"Surgical Item 292",Surgical,187,37,"Ward 10 - Shelf 4",Supplier 3
HSP00293,"Diagnostics Item 293",Diagnostics,39,10,"Ward 5 - Shelf 3",Supplier 4
HSP00294,"Cleaning Item 294",Cleaning,32,10,"Ward 8 - Shelf 1",Supplier 5
HSP00295,"Office Item 295",Office,24,10,"Ward 6 - Shelf 2",Supplier 6
HSP00296,"Consumables Item 296",Consumables,15,10,"Ward 8 - Shelf 2",Supplier 7
HSP00297,"PPE Item 297",PPE,188,37,"Ward 8 - Shelf 5",Supplier 8
HSP00298,"Equipment Item 298",Equipment,183,36,"Ward 2 - Shelf 4",Supplier 9
